[ 6,    8,	-5,	    10,	    3,	9,	0,	0,	0,	9]
[-9,	8,	 0,	    10,	    3,	-3,	0,	0,	12,	-9]
[12,	12,	 0,	    10,	    10,	2,	0,	0,	1,	-6]
[12,	12,	 9,	    10,	    5,	9,	0,	0,	3,	-4]
[12,	12,	 0,	    10,	    4,	9,	0,	0,	1,	7]
[12,	12,	-5,	    10,	    -1,	-3,	0,	0,	6,	11]
[ 6,	12,	 9,	     4,	    2,	-10,0,	0,	12,	4]
[12,	7,	 7,	     4,	    11,	8,	0,	9,	3,	7]
[-6,	12,	 2,	     1,	    11,	4,	0,	0,	2,	-12]
[-3,	8,	-6,	    -10,	3,	-5,	0,	0,	11,	7]
[-9,	12,	-6,	     4,	    9,	0,	0,	0,	12,	7]
[12,	8,	 2,	    10,	    3,	4,	0,	0,	12,	-7]
[ 6,	10,	-4,	    4,	    2,	3,	5,	0,	6,	-4]
[12,	12,	-8,	    10,	    5,	8,	0,	0,	8,	10]
[12,	12,	 3,	    10,	    4,	11,	0,	0,	4,	12]
[ 6,	12,	 2,	    10,	    12,	8,	0,	0,	2,	-12]
[ 6,	9,	-2,	    10,	    3,	-2,	0,	0,	8,	-1]
[-12,	7,	-7,	    10,	    3,	-9,	9,	0,	10,	3]
[12,	5,	-12,	-4,	    -3,	6,	0,	0,	6,	12]
[12,	12,	 7,	    4,	    -8,	10,	-12,0,	12,	-7]
[ 6,	12,	-6,	    10,	    4,	9,	0,	0,	6,	-3]
[12,	9,	 6,	    4,	    3,	8,	-4,	0,	4,	-2]
[ 6,	12,	-4,	    10,	    3,	9,	0,	9,	6,	-7]
[12,	11,	 3,	    10,	    5,	12,	0,	0,	3,	-7]
[12,	10,	-7,	    -4,	    -4,	9,	0,	0,	6,	12]
